taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
yellow,2,2016-07-10T10:50:43.000+08:00,2016-07-10T10:52:14.000+08:00,N,1,48,48,,,,,5,0.4,3.5,0.0,0.5,0.86,0.0,0.3,5.16,1,10,10,50,43,2016-07-10,2016,7,10,10,52,14,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Clinton East,Yellow Zone,Manhattan,Clinton East,Yellow Zone
yellow,2,2016-07-10T10:50:43.000+08:00,2016-07-10T10:57:39.000+08:00,N,1,142,238,,,,,6,1.26,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2,10,10,50,43,2016-07-10,2016,7,10,10,57,39,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone
yellow,1,2016-07-10T10:50:19.000+08:00,2016-07-10T10:55:47.000+08:00,N,1,48,68,,,,,1,0.9,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2,10,10,50,19,2016-07-10,2016,7,10,10,55,47,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Cash,Standard rate,Manhattan,Clinton East,Yellow Zone,Manhattan,East Chelsea,Yellow Zone
yellow,1,2016-07-10T10:50:33.000+08:00,2016-07-10T10:55:23.000+08:00,N,1,236,75,,,,,1,0.6,5.0,0.0,0.5,0.0,0.0,0.3,5.8,2,10,10,50,33,2016-07-10,2016,7,10,10,55,23,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Cash,Standard rate,Manhattan,Upper East Side North,Yellow Zone,Manhattan,East Harlem South,Boro Zone
yellow,2,2016-07-10T10:50:32.000+08:00,2016-07-10T11:00:06.000+08:00,N,1,50,142,,,,,1,0.99,8.0,0.0,0.5,2.2,0.0,0.3,11.0,1,10,10,50,32,2016-07-10,2016,7,10,11,0,6,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Clinton West,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone
yellow,1,2016-07-10T10:50:38.000+08:00,2016-07-10T11:03:15.000+08:00,N,1,141,186,,,,,1,2.7,11.5,0.0,0.5,3.65,0.0,0.3,15.95,1,10,10,50,38,2016-07-10,2016,7,10,11,3,15,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Penn Station/Madison Sq West,Yellow Zone
yellow,2,2016-07-10T10:50:21.000+08:00,2016-07-10T11:42:37.000+08:00,N,1,138,113,,,,,1,11.9,45.0,0.0,0.5,12.84,5.54,0.3,64.18,1,10,10,50,21,2016-07-10,2016,7,10,11,42,37,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Queens,LaGuardia Airport,Airports,Manhattan,Greenwich Village North,Yellow Zone
yellow,2,2016-07-10T10:50:19.000+08:00,2016-07-10T10:54:56.000+08:00,N,1,144,231,,,,,6,1.07,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2,10,10,50,19,2016-07-10,2016,7,10,10,54,56,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Little Italy/NoLiTa,Yellow Zone,Manhattan,TriBeCa/Civic Center,Yellow Zone
yellow,2,2016-07-10T10:50:21.000+08:00,2016-07-10T10:55:48.000+08:00,N,1,229,161,,,,,1,0.78,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2,10,10,50,21,2016-07-10,2016,7,10,10,55,48,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,Manhattan,Midtown Center,Yellow Zone
yellow,2,2016-07-10T10:50:39.000+08:00,2016-07-10T11:00:29.000+08:00,N,1,66,125,,,,,2,2.61,10.5,0.0,0.5,2.26,0.0,0.3,13.56,1,10,10,50,39,2016-07-10,2016,7,10,11,0,29,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,Manhattan,Hudson Sq,Yellow Zone
yellow,1,2016-07-10T10:50:40.000+08:00,2016-07-10T11:04:52.000+08:00,N,1,238,237,,,,,3,2.9,13.0,0.0,0.5,2.75,0.0,0.3,16.55,1,10,10,50,40,2016-07-10,2016,7,10,11,4,52,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone
yellow,2,2016-07-10T10:50:19.000+08:00,2016-07-10T11:02:27.000+08:00,N,1,263,164,,,,,5,3.02,11.5,0.0,0.5,2.46,0.0,0.3,14.76,1,10,10,50,19,2016-07-10,2016,7,10,11,2,27,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Yorkville West,Yellow Zone,Manhattan,Midtown South,Yellow Zone
yellow,2,2016-07-10T10:50:30.000+08:00,2016-07-10T11:01:56.000+08:00,N,1,186,211,,,,,1,2.49,10.5,0.0,0.5,0.0,0.0,0.3,11.3,2,10,10,50,30,2016-07-10,2016,7,10,11,1,56,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,SoHo,Yellow Zone
yellow,2,2016-07-10T10:50:36.000+08:00,2016-07-10T10:54:16.000+08:00,N,1,90,249,,,,,5,0.95,5.0,0.0,0.5,1.16,0.0,0.3,6.96,1,10,10,50,36,2016-07-10,2016,7,10,10,54,16,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Flatiron,Yellow Zone,Manhattan,West Village,Yellow Zone
yellow,2,2016-07-10T10:50:34.000+08:00,2016-07-10T10:57:59.000+08:00,N,1,230,236,,,,,1,2.26,8.5,0.0,0.5,1.86,0.0,0.3,11.16,1,10,10,50,34,2016-07-10,2016,7,10,10,57,59,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,Upper East Side North,Yellow Zone
yellow,2,2016-07-10T10:50:44.000+08:00,2016-07-10T10:59:01.000+08:00,N,1,162,186,,,,,1,1.15,7.0,0.0,0.5,0.0,0.0,0.3,7.8,2,10,10,50,44,2016-07-10,2016,7,10,10,59,1,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Midtown East,Yellow Zone,Manhattan,Penn Station/Madison Sq West,Yellow Zone
yellow,2,2016-07-10T10:50:19.000+08:00,2016-07-10T10:56:33.000+08:00,N,1,261,87,,,,,2,0.87,6.0,0.0,0.5,1.0,0.0,0.3,7.8,1,10,10,50,19,2016-07-10,2016,7,10,10,56,33,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,World Trade Center,Yellow Zone,Manhattan,Financial District North,Yellow Zone
yellow,1,2016-07-10T10:50:24.000+08:00,2016-07-10T10:58:04.000+08:00,N,1,246,164,,,,,1,1.2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,2,10,10,50,24,2016-07-10,2016,7,10,10,58,4,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Cash,Standard rate,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,Manhattan,Midtown South,Yellow Zone
yellow,2,2016-07-10T10:50:32.000+08:00,2016-07-10T10:55:44.000+08:00,N,1,43,142,,,,,3,1.03,6.0,0.0,0.5,0.0,0.0,0.3,6.8,2,10,10,50,32,2016-07-10,2016,7,10,10,55,44,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Central Park,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone
yellow,2,2016-07-10T10:50:23.000+08:00,2016-07-10T11:00:41.000+08:00,N,1,148,186,,,,,3,2.6,10.5,0.0,0.5,1.0,0.0,0.3,12.3,1,10,10,50,23,2016-07-10,2016,7,10,11,0,41,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Lower East Side,Yellow Zone,Manhattan,Penn Station/Madison Sq West,Yellow Zone
yellow,1,2016-07-10T10:50:25.000+08:00,2016-07-10T11:00:15.000+08:00,N,1,158,230,,,,,1,2.3,10.0,0.0,0.5,2.15,0.0,0.3,12.95,1,10,10,50,25,2016-07-10,2016,7,10,11,0,15,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,Times Sq/Theatre District,Yellow Zone
yellow,1,2016-07-10T10:50:28.000+08:00,2016-07-10T10:53:46.000+08:00,N,1,261,231,,,,,1,0.9,4.5,0.0,0.5,1.05,0.0,0.3,6.35,1,10,10,50,28,2016-07-10,2016,7,10,10,53,46,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,World Trade Center,Yellow Zone,Manhattan,TriBeCa/Civic Center,Yellow Zone
yellow,2,2016-07-10T10:50:18.000+08:00,2016-07-10T11:08:38.000+08:00,N,1,74,66,,,,,1,9.48,27.0,0.0,0.5,0.0,0.0,0.3,27.8,1,10,10,50,18,2016-07-10,2016,7,10,11,8,38,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,East Harlem North,Boro Zone,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
yellow,2,2016-07-10T10:50:41.000+08:00,2016-07-10T11:25:57.000+08:00,N,2,132,107,,,,,2,17.58,52.0,0.0,0.5,11.67,5.54,0.3,70.01,1,10,10,50,41,2016-07-10,2016,7,10,11,25,57,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,JFK,Queens,JFK Airport,Airports,Manhattan,Gramercy,Yellow Zone
yellow,2,2016-07-10T10:50:28.000+08:00,2016-07-10T11:17:23.000+08:00,N,1,138,230,,,,,1,11.68,34.5,0.0,0.5,10.21,5.54,0.3,51.05,1,10,10,50,28,2016-07-10,2016,7,10,11,17,23,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Queens,LaGuardia Airport,Airports,Manhattan,Times Sq/Theatre District,Yellow Zone
yellow,2,2016-07-10T10:50:44.000+08:00,2016-07-10T10:57:13.000+08:00,N,1,137,140,,,,,5,2.08,8.0,0.0,0.5,2.2,0.0,0.3,11.0,1,10,10,50,44,2016-07-10,2016,7,10,10,57,13,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Kips Bay,Yellow Zone,Manhattan,Lenox Hill East,Yellow Zone
yellow,2,2016-07-10T10:50:28.000+08:00,2016-07-10T11:07:23.000+08:00,N,1,236,186,,,,,1,3.09,13.5,0.0,0.5,2.86,0.0,0.3,17.16,1,10,10,50,28,2016-07-10,2016,7,10,11,7,23,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Penn Station/Madison Sq West,Yellow Zone
yellow,2,2016-07-10T10:50:37.000+08:00,2016-07-10T11:00:41.000+08:00,N,1,114,137,,,,,1,1.91,9.0,0.0,0.5,1.0,0.0,0.3,10.8,1,10,10,50,37,2016-07-10,2016,7,10,11,0,41,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Greenwich Village South,Yellow Zone,Manhattan,Kips Bay,Yellow Zone
yellow,1,2016-07-10T10:50:33.000+08:00,2016-07-10T11:00:13.000+08:00,N,1,142,236,,,,,3,2.3,9.5,0.0,0.5,2.05,0.0,0.3,12.35,1,10,10,50,33,2016-07-10,2016,7,10,11,0,13,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Upper East Side North,Yellow Zone
yellow,2,2016-07-10T10:50:44.000+08:00,2016-07-10T10:56:52.000+08:00,N,1,249,113,,,,,2,0.82,6.0,0.0,0.5,1.36,0.0,0.3,8.16,1,10,10,50,44,2016-07-10,2016,7,10,10,56,52,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,West Village,Yellow Zone,Manhattan,Greenwich Village North,Yellow Zone
yellow,2,2016-07-10T10:50:22.000+08:00,2016-07-10T10:55:24.000+08:00,N,1,79,249,,,,,1,1.28,6.5,0.0,0.5,1.5,0.0,0.3,8.8,1,10,10,50,22,2016-07-10,2016,7,10,10,55,24,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,East Village,Yellow Zone,Manhattan,West Village,Yellow Zone
yellow,1,2016-07-10T10:50:39.000+08:00,2016-07-10T11:19:40.000+08:00,N,1,132,171,,,,,3,12.4,36.5,0.0,0.5,0.0,0.0,0.3,37.3,2,10,10,50,39,2016-07-10,2016,7,10,11,19,40,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Cash,Standard rate,Queens,JFK Airport,Airports,Queens,Murray Hill-Queens,Boro Zone
yellow,2,2016-07-10T10:50:23.000+08:00,2016-07-10T10:53:07.000+08:00,N,1,113,211,,,,,1,0.61,4.5,0.0,0.5,0.0,0.0,0.3,5.3,2,10,10,50,23,2016-07-10,2016,7,10,10,53,7,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,SoHo,Yellow Zone
yellow,1,2016-07-10T10:50:26.000+08:00,2016-07-10T10:54:59.000+08:00,N,1,141,137,,,,,1,1.6,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2,10,10,50,26,2016-07-10,2016,7,10,10,54,59,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Cash,Standard rate,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Kips Bay,Yellow Zone
yellow,2,2016-07-10T10:50:33.000+08:00,2016-07-10T10:58:28.000+08:00,N,1,186,158,,,,,1,1.44,7.5,0.0,0.5,1.66,0.0,0.3,9.96,1,10,10,50,33,2016-07-10,2016,7,10,10,58,28,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,Meatpacking/West Village West,Yellow Zone
yellow,2,2016-07-10T10:50:38.000+08:00,2016-07-10T11:07:05.000+08:00,N,1,262,114,,,,,5,6.39,21.0,0.0,0.5,4.36,0.0,0.3,26.16,1,10,10,50,38,2016-07-10,2016,7,10,11,7,5,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Yorkville East,Yellow Zone,Manhattan,Greenwich Village South,Yellow Zone
yellow,2,2016-07-10T10:50:29.000+08:00,2016-07-10T10:57:58.000+08:00,N,1,90,230,,,,,1,1.75,8.0,0.0,0.5,0.0,0.0,0.3,8.8,2,10,10,50,29,2016-07-10,2016,7,10,10,57,58,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Flatiron,Yellow Zone,Manhattan,Times Sq/Theatre District,Yellow Zone
yellow,2,2016-07-10T10:50:40.000+08:00,2016-07-10T10:52:39.000+08:00,N,1,162,141,,,,,1,0.7,4.0,0.0,0.5,0.96,0.0,0.3,5.76,1,10,10,50,40,2016-07-10,2016,7,10,10,52,39,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Midtown East,Yellow Zone,Manhattan,Lenox Hill West,Yellow Zone
yellow,1,2016-07-10T10:50:25.000+08:00,2016-07-10T10:51:37.000+08:00,N,1,107,107,,,,,1,0.3,3.0,0.0,0.5,0.0,0.0,0.3,3.8,2,10,10,50,25,2016-07-10,2016,7,10,10,51,37,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Cash,Standard rate,Manhattan,Gramercy,Yellow Zone,Manhattan,Gramercy,Yellow Zone
yellow,2,2016-07-10T10:50:36.000+08:00,2016-07-10T11:13:52.000+08:00,N,1,138,161,,,,,3,9.45,28.5,0.0,0.5,0.0,5.54,0.3,34.84,2,10,10,50,36,2016-07-10,2016,7,10,11,13,52,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Queens,LaGuardia Airport,Airports,Manhattan,Midtown Center,Yellow Zone
yellow,1,2016-07-10T10:50:24.000+08:00,2016-07-10T10:58:55.000+08:00,N,1,170,114,,,,,1,1.9,8.5,0.0,0.5,0.0,0.0,0.3,9.3,1,10,10,50,24,2016-07-10,2016,7,10,10,58,55,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Murray Hill,Yellow Zone,Manhattan,Greenwich Village South,Yellow Zone
yellow,1,2016-07-10T10:50:33.000+08:00,2016-07-10T11:00:25.000+08:00,N,1,90,4,,,,,1,2.0,9.5,0.0,0.5,0.0,0.0,0.3,10.3,2,10,10,50,33,2016-07-10,2016,7,10,11,0,25,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Cash,Standard rate,Manhattan,Flatiron,Yellow Zone,Manhattan,Alphabet City,Yellow Zone
yellow,2,2016-07-10T10:50:42.000+08:00,2016-07-10T10:58:54.000+08:00,N,1,68,114,,,,,6,1.1,7.0,0.0,0.5,0.0,0.0,0.3,7.8,2,10,10,50,42,2016-07-10,2016,7,10,10,58,54,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,East Chelsea,Yellow Zone,Manhattan,Greenwich Village South,Yellow Zone
yellow,1,2016-07-10T10:50:28.000+08:00,2016-07-10T10:57:46.000+08:00,N,1,141,162,,,,,1,1.6,7.5,0.0,0.5,1.65,0.0,0.3,9.95,1,10,10,50,28,2016-07-10,2016,7,10,10,57,46,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Midtown East,Yellow Zone
yellow,2,2016-07-10T10:50:33.000+08:00,2016-07-10T11:05:15.000+08:00,N,1,141,100,,,,,1,2.79,12.0,0.0,0.5,0.0,0.0,0.3,12.8,2,10,10,50,33,2016-07-10,2016,7,10,11,5,15,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Garment District,Yellow Zone
yellow,1,2016-07-10T10:50:40.000+08:00,2016-07-10T11:02:10.000+08:00,N,1,113,148,,,,,2,1.6,9.0,0.0,0.5,0.0,0.0,0.3,9.8,2,10,10,50,40,2016-07-10,2016,7,10,11,2,10,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Cash,Standard rate,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Lower East Side,Yellow Zone
yellow,1,2016-07-10T10:50:32.000+08:00,2016-07-10T10:59:22.000+08:00,N,1,143,237,,,,,2,1.5,8.0,0.0,0.5,1.75,0.0,0.3,10.55,1,10,10,50,32,2016-07-10,2016,7,10,10,59,22,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone
yellow,2,2016-07-10T10:50:32.000+08:00,2016-07-10T11:08:20.000+08:00,N,1,230,231,,,,,2,3.7,15.0,0.0,0.5,0.0,0.0,0.3,15.8,2,10,10,50,32,2016-07-10,2016,7,10,11,8,20,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,TriBeCa/Civic Center,Yellow Zone
yellow,2,2016-07-10T10:50:37.000+08:00,2016-07-10T10:58:17.000+08:00,N,1,238,142,,,,,1,1.51,8.0,0.0,0.5,1.0,0.0,0.3,9.8,1,10,10,50,37,2016-07-10,2016,7,10,10,58,17,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone
yellow,2,2016-07-10T10:50:39.000+08:00,2016-07-10T11:03:52.000+08:00,N,1,263,143,,,,,1,2.94,11.5,0.0,0.5,2.46,0.0,0.3,14.76,1,10,10,50,39,2016-07-10,2016,7,10,11,3,52,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Yorkville West,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone
yellow,1,2016-07-10T10:50:36.000+08:00,2016-07-10T10:56:46.000+08:00,N,1,163,48,,,,,1,1.0,6.0,0.0,0.5,2.5,0.0,0.3,9.3,1,10,10,50,36,2016-07-10,2016,7,10,10,56,46,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Midtown North,Yellow Zone,Manhattan,Clinton East,Yellow Zone
yellow,1,2016-07-10T10:50:34.000+08:00,2016-07-10T10:53:34.000+08:00,N,1,262,262,,,,,3,0.5,4.5,0.0,0.5,1.05,0.0,0.3,6.35,1,10,10,50,34,2016-07-10,2016,7,10,10,53,34,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Credit card,Standard rate,Manhattan,Yorkville East,Yellow Zone,Manhattan,Yorkville East,Yellow Zone
yellow,2,2016-07-10T10:50:43.000+08:00,2016-07-10T10:55:45.000+08:00,N,1,113,161,,,,,1,1.71,7.0,0.0,0.5,1.2,0.0,0.3,9.0,1,10,10,50,43,2016-07-10,2016,7,10,10,55,45,2016-07-10,VFI,VeriFone Inc.,Jul,July,Credit card,Standard rate,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Midtown Center,Yellow Zone
yellow,2,2016-07-10T10:50:29.000+08:00,2016-07-10T11:02:55.000+08:00,N,1,186,246,,,,,1,1.62,9.0,0.0,0.5,0.0,0.0,0.3,9.8,2,10,10,50,29,2016-07-10,2016,7,10,11,2,55,2016-07-10,VFI,VeriFone Inc.,Jul,July,Cash,Standard rate,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
yellow,1,2016-07-10T10:50:44.000+08:00,2016-07-10T10:57:00.000+08:00,N,1,79,232,,,,,1,1.1,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2,10,10,50,44,2016-07-10,2016,7,10,10,57,0,2016-07-10,CMT,"Creative Mobile Technologies, LLC",Jul,July,Cash,Standard rate,Manhattan,East Village,Yellow Zone,Manhattan,Two Bridges/Seward Park,Yellow Zone
